Geolocation,Major Occupation,year,quarter,Female,Male
REGION IVA,Elementary Occupations,2018,Q3,373.427,780.482
NCR,Managers,2020,Q4,370.47,245.933
NCR,Clerical Support Workers,2021,Q2,369.98633333333333,285.36066666666665
REGION IVA,Clerical Support Workers,2021,Q4,368.97499999999997,215.09699999999998
NCR,Elementary Occupations,2018,Q4,368.89,493.923
REGION VI,Elementary Occupations,2021,Q2,367.40933333333334,722.1063333333333
NCR,Clerical Support Workers,2018,Q1,366.055,263.171
REGION VII,Service and Sales Workers,2018,Q2,365.278,285.315
REGION X,Elementary Occupations,2020,Q1,364.908,511.884
REGION III,Managers,2018,Q4,364.396,497.3
NCR,Elementary Occupations,2018,Q1,364.205,570.339
NCR,Elementary Occupations,2021,Q3,363.298,692.2600000000001
REGION VI,Service and Sales Workers,2019,Q3,361.446,248.847
REGION III,Service and Sales Workers,2018,Q3,360.309,342.052
PHILIPPINES,Plant and Machine Operators and Assemblers,2019,Q1,358.896,2807.465
NCR,Elementary Occupations,2018,Q2,358.258,502.132
REGION IVA,Clerical Support Workers,2021,Q3,357.779,203.26466666666667
NCR,Elementary Occupations,2019,Q1,357.016,589.79
NCR,Managers,2020,Q3,356.981,269.832
PHILIPPINES,Plant and Machine Operators and Assemblers,2019,Q4,356.901,3070.417
REGION VI,Elementary Occupations,2020,Q3,356.662,825.521
NCR,Clerical Support Workers,2018,Q3,355.856,277.363
REGION III,Managers,2018,Q2,355.313,466.71
REGION X,Elementary Occupations,2019,Q3,354.913,483.413
REGION VII,Service and Sales Workers,2019,Q1,354.179,239.728
PHILIPPINES,Plant and Machine Operators and Assemblers,2021,Q4,353.222,2880.5016666666666
REGION X,Elementary Occupations,2021,Q2,350.75,551.123
PHILIPPINES,Plant and Machine Operators and Assemblers,2021,Q2,350.715,2911.3770000000004
REGION VI,Elementary Occupations,2018,Q3,348.937,625.998
REGION III,Elementary Occupations,2018,Q1,348.343,756.872
REGION VI,Service and Sales Workers,2018,Q4,348.153,237.293
REGION VI,Elementary Occupations,2018,Q4,347.375,695.051
REGION III,Elementary Occupations,2019,Q1,346.787,844.973
REGION IVA,Managers,2019,Q3,346.464,367.181
